City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,27.73,77,40,2.43,MV,1702331729
1,port mathurin,-19.6833,63.4167,25.94,76,91,2.67,MU,1702331734
2,albany,42.6001,-73.9662,2.51,75,12,5.36,US,1702331727
3,talnakh,69.4865,88.3972,-26.54,98,100,4.7,RU,1702331558
4,edinburgh of the seven seas,-37.0676,-12.3116,13.53,90,100,9.22,SH,1702331720
5,waitangi,-43.9535,-176.5597,14.34,91,100,3.13,NZ,1702331722
6,bowen,-20.0167,148.2333,26.86,81,70,10.06,AU,1702331925
7,colonia,50.9333,6.95,9.86,81,0,4.12,DE,1702331546
8,blackmans bay,-43.0167,147.3167,16.07,79,20,0.89,AU,1702331718
9,st. john's,47.5649,-52.7093,12.66,95,75,8.75,CA,1702331771
10,mount gambier,-37.8333,140.7667,21.21,71,60,3.72,AU,1702331537
11,olyokminsk,60.3736,120.4264,-27.72,95,100,2.11,RU,1702331925
12,hadibu,12.65,54.0333,24.43,69,62,4.54,YE,1702331726
13,port-aux-francais,-49.35,70.2167,5.65,98,99,10.34,TF,1702331720
14,yellowknife,62.456,-114.3525,-23.71,77,75,1.03,CA,1702331728
15,nova sintra,14.8667,-24.7167,23.18,68,28,7.35,CV,1702331769
16,walvis bay,-22.9575,14.5053,16.72,82,18,3.6,NA,1702331925
17,el calafate,-50.3408,-72.2768,11.78,49,86,6.12,AR,1702331710
18,nea alikarnassos,35.3333,25.1667,14.71,83,40,2.06,GR,1702331925
19,tazovsky,67.4667,78.7,-25.39,95,100,3.9,RU,1702331719
20,luderitz,-26.6481,15.1594,18.89,55,0,9.34,NA,1702331712
21,grytviken,-54.2811,-36.5092,2.31,77,32,5.49,GS,1702331719
22,stanley,54.868,-1.6985,0.43,97,20,0.0,GB,1702331734
23,punta arenas,-53.15,-70.9167,13.06,41,75,10.8,CL,1702331741
24,paraparaumu,-40.9167,175.0167,18.36,56,42,2.82,NZ,1702331926
25,ushuaia,-54.8,-68.3,10.81,43,0,1.54,AR,1702331690
26,merizo village,13.2658,144.6691,27.85,88,49,6.51,GU,1702331926
27,sarupathar,26.1984,93.8094,15.08,93,0,0.45,IN,1702331926
28,tsarevo,42.1667,27.85,5.68,86,2,1.78,BG,1702331926
29,coahuayana de hidalgo,18.7,-103.6583,31.16,49,64,2.16,MX,1702331926
30,thompson,55.7435,-97.8558,-10.91,73,100,9.77,CA,1702331723
31,mount pearl,47.5166,-52.7813,12.19,95,75,8.75,CA,1702331926
32,kone,-21.0595,164.8658,27.79,51,78,1.39,NC,1702331789
